;Ptilinopus rivoli;Ptilinopus superbus;Ailuroedus melanotis;Amblyornis macgregoriae;Phonygammus keraudrenii;Paradisornis rudolphi;Parotia lawesii;Cicinnurus magnificus;Lophorina superba;Melipotes fumigatus;Pycnopygius cinereus;Oreocharis arfaki;Melanocharis longicauda;Zosterops novaeguineae;Gymnophaps albertisii
Platea excelsa;11;0;0;0;0;0;0;0;0;0;0;0;0;0;95
Prunus_GBIFresolved_net_090;6;0;7;0;0;0;0;0;0;0;0;0;0;0;0
Cryptocarya_GBIFresolved_net_091;4;2;0;0;0;0;0;0;0;0;0;0;0;0;137
Vavaea amicorum;15;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Cissus hypoglauca;10;0;26;6;9;0;3;0;12;1;0;1;12;0;0
Bischofia javanica;22;2;18;0;0;0;0;0;1;0;0;2;1;0;0
Cissus aristata;0;0;13;0;0;0;0;1;3;2;2;0;1;0;0
Schefflera chaetorrhachis;0;0;4;1;1;0;1;0;3;32;12;11;8;0;0
Trema orientalis;0;0;0;1;0;0;0;1;39;6;0;0;6;95;0
Schefflera pachystyla;0;0;0;0;0;0;13;0;5;0;0;0;0;0;0
Polyscias spectabilis;0;0;0;0;49;19;103;16;9;0;0;0;0;0;0
Palmeria arfakiana;0;0;0;1;0;1;14;1;2;0;0;0;0;0;0
Homalanthus novoguineensis;0;0;0;0;0;4;0;1;18;0;0;0;0;0;0
Elmerrillia papuana;2;0;0;0;7;2;28;6;50;2;0;0;0;115;0
Melicope elleryana;0;0;0;0;0;0;1;1;7;5;0;0;0;10;0
