"";"Anthornis melanura";"Zosterops lateralis";"Prosthemadera novaeseelandiae";"Turdus merula";"Sturnus vulgaris";"Turdus philomelos"
"Alectryon excelsus";0;0;0;2;0;0
"Aristotelia serrata";0;4;2;0;0;0
"Coprosma grandifolia";1;3;0;0;0;0
"Coprosma robusta";5;11;0;1;0;2
"Cordyline australis";0;3;0;0;0;0
"Coriaria arborea";1;3;0;2;0;0
"Fuchsia excorticata";1;0;0;0;0;0
"Ileostylus micranthus";1;3;0;0;0;0
"Piper excelsum";0;15;2;0;0;0
"Melicytus ramiflorus";4;42;3;3;0;2
"Muehlenbeckia australis";1;6;1;0;0;1
"Pennantia corymbosa";0;4;0;0;0;0
"Pittosporum tenuifolium";0;3;0;0;0;0
"Podocarpus totara";7;5;0;2;0;0
"Prumnopitys taxifolia";0;0;2;0;0;0
"Neopanax arboreus";2;20;0;1;0;0
"Schefflera digitata";0;5;0;0;0;0
"Leycesteria formosa";0;15;0;0;0;1
"Sambucus nigra";0;6;0;0;2;0
"Solanum americanum";0;25;0;1;0;0
"Passiflora mollissima";0;0;0;1;0;0
