"";"Eupsittula aurea";"Psittacara leucophthalmus";"Brotogeris versicolurus";"Casiornis rufus";"Crax fasciolata";"Cyanocorax chrysops";"Cyanocorax cyanomelas";"Euphonia chlorotica";"Gnorimopsar chopi";"Guira guira";"Icterus croconotus";"Myiarchus ferox";"Myiodynastes maculatus";"Ortalis canicollis";"Paroaria coronata";"Pipile grayi";"Pitangus sulphuratus";"Psarocolius decumanus";"Pteroglossus castanotis";"Ramphastos toco";"Ramphocelus carbo";"Rhea americana";"Saltator coerulescens";"Tachyphonus rufus";"Tangara palmarum";"Tangara sayaca";"Trogon curucui";"Turdus rufiventris";"Tyrannus melancholicus";"Tityra cayana"
"Acrocomia aculeata";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41;0;0;0;0;0;0;0;0
"Agonandra brasiliensis";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"Cordiera sessilis";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Attalea phalerata";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;0;0;0;0;0;0;0;0
"Bactris glaucescens";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"Byrsonima cydoniifolia";0;0;0;0;5;0;0;0;0;0;0;0;0;9;0;1;0;0;0;0;0;6;0;0;0;0;0;0;0;0
"Cecropia pachystachya";0;0;2;0;0;2;10;0;0;0;0;0;0;11;0;3;0;5;2;6;0;0;0;0;0;0;0;0;0;0
"Copernicia alba";0;0;0;0;0;0;2;0;0;2;0;0;0;1;0;0;0;0;0;1;1;64;0;0;0;0;0;0;0;0
"Curatella americana";0;0;0;0;0;0;1;0;0;2;0;0;0;3;0;0;1;3;0;1;0;0;0;0;0;0;0;0;0;0
"Dipteryx alata";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0
"Doliocarpus dentatus";0;0;0;0;0;2;2;0;0;0;1;0;0;4;1;2;5;4;0;0;5;0;2;0;4;13;2;0;2;0
"Ficus padifolia";4;0;2;0;0;0;1;0;1;0;0;0;0;9;0;10;0;2;4;2;4;2;0;0;0;0;0;0;0;0
"Garcinia brasiliensis";0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Genipa americana";0;0;0;0;1;0;17;0;0;0;0;0;0;12;0;32;7;0;9;12;13;0;0;2;0;0;0;0;0;0
"Guazuma ulmifolia";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Hancornia speciosa";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
"Mouriri elliptica";0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Ocotea diospyrifolia";0;0;0;0;0;0;0;0;0;0;0;2;1;1;0;14;2;0;3;5;0;0;0;0;0;0;5;1;0;8
"Phoradendron_net_002";0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"Pouteria gardneri";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
"Protium heptaphyllum";0;0;0;0;0;0;5;0;0;0;0;0;0;3;0;2;0;5;0;3;1;0;0;0;0;0;0;0;0;0
"Psidium nutans";0;0;0;0;3;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0
"Psittacanthus calyculatus";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;2;1;0;0;0;0
"Psittacanthus cordatus";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
"Rhamnidium elaeocarpum";0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
"Sterculia apetala";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;20;125;0;0;0;0;0;0;0;0;0;0
"Swartzia jorori";0;0;0;0;0;0;0;0;0;0;1;0;0;3;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0
"Vitex cymosa";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0
"Zanthoxylum rigidum";1;1;0;4;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;2;0;1;0;0;1;0;0
