"";"Elaenia strepera";"Chlorospingus ophthalmicus";"Elaenia albiceps";"Turdus nigriceps";"Tangara sayaca";"Atlapetes citrinellus";"Microspingus erythrophrys";"Pipraeidea melanonota";"Cacicus chrysopterus";"Turdus rufiventris";"Penelope obscura";"Elaenia obscura";"Leptotila megalura";"Arremon torquatus";"Thlypopsis sordida";"Thlypopsis ruficeps";"Pheucticus aureoventris"
"Sambucus nigra";54;12;20;8;7;4;1;0;0;3;2;0;0;0;0;0;0
"Solanum aligerum";23;1;9;25;3;3;0;1;2;1;0;0;0;2;2;0;1
"Rhamnus sphaerosperma";5;8;11;7;1;0;2;0;0;0;1;1;0;0;0;0;0
"Citharexylum joergensenii";10;3;8;3;1;2;2;2;0;0;0;0;0;0;0;1;0
"Myrcianthes mato";5;6;4;7;3;1;0;0;0;1;1;2;1;0;0;0;0
"Muehlenbeckia tamnifolia";4;11;3;0;1;2;2;0;1;0;0;0;0;0;0;0;0
"Schinus gracilipes";5;4;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0
"Azara salicifolia";3;2;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"Vassobia breviflora";4;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0
"Myrcianthes pseudomato";1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Rubus imperialis";1;2;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0
"Podocarpus parlatorei";1;1;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0
"Viburnum seemenii";2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Berberis commutata";2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Tournefortia lilloi";1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Potentilla indica";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
