"";"Arizelocichla nigriceps";"Columba arquatrix";"Corvus albicollis";"Geokichla piaggiae";"Linurgus olivaceus";"Onychognathus walleri";"Poeoptera femoralis";"Pholia sharpii";"Tauraco hartlaubi";"Turdus olivaceus";"Zosterops poliogastrus"
"Discopodium eremanthum";3;0;0;1;0;0;0;0;0;1;0
"Embelia schimperi";1;0;0;0;4;3;2;0;0;0;0
"Ilex mitis";2;0;0;0;0;0;0;0;0;1;0
"Maytenus acuminata";2;0;0;0;0;0;0;0;0;0;0
"Myrsine africana";1;0;0;0;0;0;0;0;0;0;0
"Podocarpus latifolius";0;2;1;0;0;0;0;0;2;0;0
"Prunus africana";4;0;0;0;0;3;3;6;2;2;0
"Rubus steudneri";0;0;0;0;0;0;0;0;0;0;1
"Rubus volkensii";1;0;0;1;0;0;0;0;0;0;0
"Astropanax volkensii";134;0;0;0;2;4;7;1;1;23;111
"Zehneria scabra";1;0;0;0;0;0;0;0;1;0;0
