;Anisognathus somptuosus;Psittacara mitratus;Aulacorhynchus coeruleicinctis;Chiroxiphia boliviana;Chlorospingus ophthalmicus;Diglossa cyanea;Empidonomus varius;Mionectes striaticollis;Myioborus miniatus;Penelope montagnii;Phyllomyias sclateri;Pipreola frontalis;Pyrrhura molinae;Rupicola peruvianus;Tangara argyrofenges;Tangara vassorii;Tangara xanthocephala;Sporathraupis cyanocephala;Turdus albicollis
Alchornea triplinervia;6;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;1;0;0
Ceroxylon pityrophyllum;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Clusia lechleri;0;0;0;0;0;3;0;2;0;0;0;0;0;0;0;0;0;0;0
Clusia sphaerocarpa;0;0;0;2;3;0;6;0;0;0;1;0;0;0;0;0;0;0;1
Clusia trochiformis;4;0;0;28;4;0;0;4;1;0;15;0;0;0;1;0;0;0;0
Coussarea_net_177;2;0;1;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0
Guatteria terminalis;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hedyosmum angustifolium;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hedyosmum bonplandianum;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hesperomeles ferruginea;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hieronyma alchorneoides;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hieronyma moritziana;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Miconia cordata;14;0;0;9;4;0;0;0;0;1;0;0;6;0;0;19;0;1;0
Myrsine coriacea;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Psychotria carthagenensis;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Symplocos arechea;0;10;0;0;0;0;0;0;0;1;0;2;0;1;0;0;0;0;0
Symplocos colorata;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
