;Atlapetes semirufus;Aulacorhynchus sulcatus;Spinus spinescens;Catharus aurantiirostris;Chlorophonia cyanea;Chlorospingus flavopectus;Coereba flaveola;Cyanerpes cyaneus;Cyanocorax yncas;Elaenia flavogaster;Elaenia frantzii;Euphonia cyanocephala;Forpus passerinus;Sphenopsis frontalis;Melanerpes rubricapillus;Mionectes olivaceus;Ortalis ruficauda;Patagioenas fasciata;Penelope argyrotis;Pheucticus chrysogaster;Pipreola aureopectus;Pitangus sulphuratus;Pyrrhura emma;Tachyphonus rufus;Tangara arthus;Tangara cyanoptera;Tangara guttata;Tangara gyrola;Tangara nigroviridis;Tersina viridis;Sporathraupis cyanocephala;Tangara episcopus;Tangara palmarum;Trogon collaris;Turdus flavipes;Turdus leucomelas;Turdus nudigenis;Turdus olivater;Turdus serranus;Tyrannus melancholicus
Alchornea triplinervia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;1;0;1;0;0;0;3;0;0;0;0;0;0;0;0;0
Antidaphne viscoidea;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
Byrsonima karstenii;0;2;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;1;0;0;0;0;0
Calyptranthes macrophylla;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;3;1;0;0;0;16;2;0;0;9;0;0;0;1;0
Cecropia angustifolia;0;5;1;0;0;1;1;1;0;0;0;0;1;0;1;0;0;0;0;0;1;1;1;0;9;3;8;11;1;0;27;66;4;0;12;1;1;0;1;0
Miconia rariflora;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Clidemia hirta;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0
Clusia minor;0;3;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1
Clusia multiflora;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;3;0;0;0;0;0;0;0;0
Erythroxylum amazonicum;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0
Guapira olfersiana;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hieronyma moritziana;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
Ilex glaucophylla;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0
Matayba longipes;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Miconia tovarensis;0;0;0;0;2;4;0;0;1;0;1;1;0;1;0;0;0;3;0;0;0;0;0;0;2;1;21;2;0;0;9;2;0;0;4;0;0;3;0;0
Miconia dodecandra;0;1;0;1;3;8;1;0;1;1;0;0;0;0;0;0;2;0;0;0;7;0;0;0;24;2;26;1;4;1;14;9;0;0;3;0;0;1;0;0
Miconia lonchophylla;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0;0;3;1;0;0;1;0;0;0;0;0
Miconia sylvatica;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Myrcia splendens;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Myrsine coriacea;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Nectandra laurel;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0
Oreopanax capitatus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;1;0;2;0;0;1;0;0;0;0;0;0;0;2;0
Palicourea angustifolia;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Palicourea petiolaris;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0
Palicourea semirasa;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
