"";"Gracupica contra";"Acridotheres fuscus";"Sturnia malabarica";"Acridotheres tristis";"Pycnonotus cafer";"Pycnonotus jocosus";"Eudynamys scolopaceus";"Dendrocitta vagabunda";"Corvus splendens";"Corvus macrorhynchos";"Aegithina tiphia";"Oriolus xanthornus";"Psilopogon lineatus";"Psilopogon viridis";"Psilopogon zeylanicus";"Psilopogon haemacephalus";"Psilopogon asiaticus";"Parus major";"Zosterops palpebrosus"
"Acacia auriculiformis";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Aporosa sp";1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Artocarpus chama";0;1;1;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0
"Azadirachta indica";0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"Carica papaya";0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Clerodendrum viscosum";0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Ficus benghalensis";0;4;4;1;3;1;2;8;8;0;0;0;8;1;1;6;1;0;0
"Ficus tinctoria";2;1;1;0;2;2;2;1;0;1;0;0;1;0;0;0;0;0;0
"Ficus lamponga";0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Ficus hispida";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Ficus religiosa";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"Garuga pinnata";2;0;3;0;4;0;0;2;0;0;0;0;0;0;0;0;0;0;0
"Glochidion sp";1;1;3;0;2;0;0;1;1;0;0;0;1;0;0;0;0;0;0
"Grewia asiatica";0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Ilex godajam";3;2;1;0;3;0;0;0;0;0;0;0;1;0;0;0;0;1;0
"Lannea coromandelica";0;3;2;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Lantana camara";8;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Litsea monopetala";2;2;0;1;2;1;0;0;0;0;0;1;1;0;0;0;0;0;0
"Melastoma malabathricum";0;1;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"Magnolia champaca";1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Phoenix sylvestris";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Phyllanthus reticulatus";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Psidium guajava";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Syzygium cumini";1;1;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0
"Trema orientalis";4;0;7;0;11;11;0;1;0;0;1;0;2;0;0;0;0;0;1
"Vitex peduncularis";0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
