"node_id";"taxonomy_name";"taxonomy_rank"
"TI_PLANT_1";"bellucia_grossularioides";"species"
"TI_PLANT_2";"inga_edulis";"species"
"TI_PLANT_3";"psidium_guajava";"species"
"TI_PLANT_4";"pouteria_caimito";"species"
"TI_PLANT_5";"averrhoa_carambola";"species"
"TI_PLANT_6";"spondias_mombin";"genus"
"TI_PLANT_7";"malphighia_emarginata";"species"
"TI_PLANT_8";"syzygium_malaccense";"species"
"TI_PLANT_9";"annona_muricata";"species"
"TI_PLANT_10";"citrus_sinensis";"species"
"TI_PLANT_11";"bellucia_imperialis";"species"
"TI_PLANT_12";"simaba_guinanensis";"species"
"TI_PLANT_13";"anacardium_occidentale";"species"
"TI_PLANT_14";"capsicum_chinense";"species"
"TI_PLANT_15";"cucumis_anguria";"species"
"TI_PLANT_16";"Mentha_longifolia ";"species"
"TI_PLANT_17";"Mentha_piperata";"species"
"TI_PLANT_18";"Helianthus_annuus";"species"
"TI_PLANT_19";"Capsicum_frutescens";"species"
"TI_PLANT_20";"Cestrum_nocturnum";"species"
"TI_PLANT_21";"Chlorophytum_sternbergianum";"species"
"TI_PLANT_22";"Citrus_";"species"
"TI_PLANT_23";"Clitoria_";"species"
"TI_PLANT_24";"Cucurbita_pepo";"species"
"TI_PLANT_25";"Cucurbita_";"species"
"TI_PLANT_26";"Dolichos _lablab";"species"
"TI_PLANT_27";"Ficus_";"species"
"TI_PLANT_28";"Gazania_splendens";"genus"
"TI_PLANT_29";"Jasminum_sambac";"species"
"TI_PLANT_30";"Lawsonis_inermis";"species"
"TI_PLANT_31";"Medicago_sativa";"species"
"TI_PLANT_32";"Melilotus_indica";"species"
"TI_PLANT_33";"Neurada_procumbens";"species"
"TI_PLANT_34";"Pithecellobium_dulce";"species"
"TI_PLANT_35";"Prosopis_juliflora";"species"
"TI_PLANT_36";"Prunus_armeniaca";"species"
"TI_PLANT_37";"Raphanus_sativus";"species"
"TI_PLANT_38";"Schinus_molle";"species"
"TI_PLANT_39";"Tecoma_stans";"species"
"TI_PLANT_40";"Vicia_faba";"species"
"TI_PLANT_41";"Vigna _ungniculata";"species"
"TI_PLANT_42";"Dianthus _caryophyllus";"species"
"TI_PLANT_43";"Dodonea_viscosa";"species"
"TI_PLANT_44";"Nerium_oleander";"species"
"TI_PLANT_45";"Pelargonium_";"species"
"TI_PLANT_46";"Trigonella_foenum-graecum";"species"
"TI_PLANT_47";"Solanum_nigrum";"species"
"TI_PLANT_48";"Aloe _vera";"species"
"TI_PLANT_49";"Brassica_oleracea";"species"
"TI_PLANT_50";"Calendula_officinalis";"species"
"TI_PLANT_51";"Catharanthus_roseus";"species"
"TI_PLANT_52";"Chenopodium_ambrosioides";"species"
"TI_PLANT_53";"Chrysanthemum_leucanthemum";"species"
"TI_PLANT_54";"Citrullus_colocynthis";"species"
"TI_PLANT_55";"Convolvulus_arvensis";"species"
"TI_PLANT_56";"Cucumis_";"species"
"TI_PLANT_57";"Ficus_carica";"species"
"TI_PLANT_58";"Gossypium_";"species"
"TI_PLANT_59";"Hibiscus_esculentus";"species"
"TI_PLANT_60";"Hibiscus_rosa-sinensis";"species"
"TI_PLANT_61";"Malva_parviflora";"species"
"TI_PLANT_62";"Myoporum_laetum";"species"
"TI_PLANT_63";"Ocimum_basilicum";"species"
"TI_PLANT_64";"Pittosporum_tobira";"genus"
"TI_PLANT_65";"Punica_granatum";"species"
"TI_PLANT_66";"Salvia_slenpens";"species"
"TI_PLANT_67";"Solanum_melongena";"species"
"TI_PLANT_68";"Solanum_tuberosum";"species"
"TI_PLANT_69";"Vitis_vinifera";"species"
"TI_PLANT_70";"Calotropis_procera";"species"
"TI_PLANT_71";"Pergularis_tomentosa";"species"
"TI_PLANT_72";"_";"species"
"TI_PLANT_73";"Tamarix_";"species"
"TI_PLANT_74";"Arundo_donax";"species"
"TI_PLANT_75";"Cynodon_dactylon";"species"
"TI_PLANT_76";"Eragrostis_";"species"
"TI_PLANT_77";"Phoenix_dactylifera";"species"
"TI_PLANT_78";"Sorghum_sudanense";"species"
"TI_PLANT_79";"Sorghum_vulgare";"species"
"TI_PLANT_80";"Zea_mays";"species"
"TI_PLANT_81";"Triticum_aesticum";"species"
"TI_PLANT_82";"Coroandrum_sativum";"species"
"TI_PLANT_83";"Phalaris_minor";"species"
"TI_PLANT_84";"Avena_sativa";"species"
"TI_PLANT_85";"Cyrerus _rotundus";"species"
"TI_PLANT_86";"Typha_";"species"
"TI_PLANT_87";"Antirrhinum_majus";"species"
"TI_PLANT_88";"Brassica_rapa";"species"
"TI_PLANT_89";"Petroselinum_crispum";"genus"
"TI_PLANT_90";"Rumex_obtusifolius";"species"
"TI_PLANT_91";"Daucus_carota";"species"
"TI_PLANT_92";"Sonchus_oleraceus";"species"
"TI_PLANT_93";"Canna_indica";"species"
"TI_PLANT_94";"Ipomoea _";"species"
"TI_PLANT_95";"Lactuca_sativa";"species"
"TI_PLANT_96";"Morus_alba ";"species"
"TI_PLANT_97";"Pisum_sativum";"species"
"TI_PLANT_98";"Rosa _";"species"
"TI_PLANT_99";"Althaea_rosea";"species"
"TI_PLANT_100";"Beta_vulgaris";"species"
"TI_PLANT_101";"Bougainvillea_spectabilis";"genus"
"TI_PLANT_102";"Brassica_napus";"species"
"TI_PLANT_103";"Clerodendron_inerne";"species"
"TI_PLANT_104";"Convolvulus_";"species"
"TI_PLANT_105";"Eruca_sativa";"species"
"TI_PLANT_106";"Lycopersicum_esculentum";"species"
"TI_PLANT_107";"Malvaviscus_arboreus";"species"
"TI_PLANT_108";"Petunia_hybrida";"species"
"TI_PLANT_109";"Spinacia_oleracea";"species"
"TI_PLANT_110";"Tagetes_patula ";"species"
"TI_PLANT_111";"Urtica_urens";"species"
"TI_PLANT_112";"Setaria_verticillata";"species"
"TI_PLANT_113";"Centaurea_moschata";"species"
"TI_PLANT_114";"Cyperus_rotundus";"species"
"TI_PLANT_115";"Malus_silvestris";"species"
"TI_PLANT_116";"Citrus _";"species"
"TI_PLANT_117";"Verbesinia_encelioides";"species"
"TI_PLANT_118";"Phragmanthera_regularis";"species"
"TI_PLANT_119";"Withania_somnifera";"species"
"TI_PLANT_120";"Mangifera_indica";"species"
"TI_PLANT_121";"Tribulus_pentandrus";"species"
"TI_PLANT_122";"Euphorbia_granulata";"species"
"TI_PLANT_123";"Euphorbia_schimperiana";"species"
"TI_PLANT_124";"Rumex_nervoses";"species"
"TI_PLANT_125";"Pennisetum_typhoides";"species"
"TI_PLANT_126";"Euryops_arabicus";"species"
"TI_PLANT_127";"Prunus_persica";"species"
"TI_PLANT_128";"Anethum_graveolens";"species"
"TI_PLANT_129";"Anisum_sativum";"species"
"TI_PLANT_130";"Foeniculus_vulgare";"species"
"TI_PLANT_131";"Alkanna_orientalis";"species"
"TI_PLANT_132";"Chenopodium_murale";"species"
"TI_PLANT_133";"Lactuca_saligna";"species"
"TI_PLANT_134";"Lycium_arabicum";"species"
"TI_PLANT_135";"Avena _futua";"species"
"TI_PLANT_136";"Avena _sativa";"species"
"TI_PLANT_137";"Euyops_arabicus";"species"
"TI_PLANT_138";"Pennisetum_setaceum";"species"
"TI_PLANT_139";"Pinus_halepensis";"species"
"TI_PLANT_140";"Prunus_domestica";"species"
"TI_PLANT_141";"Prunus_spinosa";"genus"
"TI_PLANT_142";"Panicum_turgidum";"species"
"TI_PLANT_143";"Hordeum_vulgare";"species"
"TI_PLANT_144";"Phaseolus_vulgaris";"species"
"TI_PLANT_145";"Heliotropium_bacciferum";"species"
"TI_PLANT_146";"Plantago_lanceolata";"species"
"TI_PLANT_147";"Portulaca_oleracea";"species"
"TI_PLANT_148";"Physallis_longifolia ";"species"
"TI_PLANT_149";"Dactyloctenium_aegyptium";"species"
"TI_PLANT_150";"Carthamus_tinctorius";"species"
"TI_PLANT_151";"ficus_nodosa";"species"
"TI_PLANT_152";"castanopsis_acuminatissima";"species"
"TI_PLANT_153";"pipturus_argenteus";"species"
"TI_PLANT_154";"caldcluvia_brassii";"species"
"TI_PLANT_155";"cinnamomum_culilaban";"species"
"TI_PLANT_156";"elmerrillia_tsiampacca";"species"
"TI_PLANT_157";"cordia_dichotoma";"species"
"TI_PLANT_158";"aleurites_moluccana";"species"
"TI_PLANT_159";"melicope_denhamii";"species"
"TI_PLANT_160";"piper_plagiophyllum";"species"
"TI_PLANT_161";"bidens_gardneri";"species"
"TI_PLANT_162";"Campuloclinium_chlorolepis";"species"
"TI_PLANT_163";"chromolaena_chaseae";"species"
"TI_PLANT_164";"chromolaena_ordorata";"species"
"TI_PLANT_165";"chromolaena_pedunculosa";"species"
"TI_PLANT_166";"chromolaena_pungens";"species"
"TI_PLANT_167";"chromolaena_squalida";"species"
"TI_PLANT_168";"chrysolaena_herbacea";"species"
"TI_PLANT_169";"conyza_canadensis";"species"
"TI_PLANT_170";"elephantopus_biflorus";"species"
"TI_PLANT_171";"elephantopus_mollis";"species"
"TI_PLANT_172";"gochnatia_barrosii";"species"
"TI_PLANT_173";"gochnatia_pulchra";"species"
"TI_PLANT_174";"heterocondylus_alatus";"species"
"TI_PLANT_175";"lessingianthus_bardanoides";"species"
"TI_PLANT_176";"mikania_cordifolia";"species"
"TI_PLANT_177";"orthopappus_angustifolius";"species"
"TI_PLANT_178";"piptocarpha_rotundifolia";"species"
