"network_id";"null_model";"replicate";"metric";"value"
"mangal_1220_connectance";"connectance";16;"richness";55
"mangal_1220_connectance";"connectance";16;"connectance";0,178451178451178
"mangal_1220_connectance";"connectance";16;"degree.shannon";3,96711971935184
"mangal_1220_connectance";"connectance";16;"degree.mean";9,63636363636364
"mangal_1220_connectance";"connectance";16;"degree.sd";2,77130559125743
"mangal_1220_connectance";"connectance";16;"degree.skewness";0,450523843216086
"mangal_1220_connectance";"connectance";16;"degree.kurtosis";2,65865869453951
"mangal_1220_connectance";"connectance";16;"modularity.betweenness";0,150704877180491
"mangal_1220_connectance";"connectance";16;"modularity.infomap";0
"mangal_1220_connectance";"connectance";16;"nestedness";9,32906875479662
"mangal_1220_connectance";"connectance";16;"centrality.degree";0,138714185883997
"mangal_1220_connectance";"connectance";16;"centrality.eigen";0,127781151828955
"mangal_1220_connectance";"connectance";16;"interaction.overlap";0,185709079641318
"mangal_1220_connectance";"connectance";16;"link.density";9,63636363636364
